Stock No.,Institution name,Genus,Species,Division,Class,Synonym,Place name,Habitats,Details of habitat,Details on the freshwater environment,Details on the marine environment,State of algal and cyanobacterial strain,Preservation state,Cryopreservation,Environmental characteristics,Physiological and ecological characteristics,"Other characteristics
"
NIES-94,National Institute for Environmental Studies,Scenedesmus,acutus,Chlorophyta,Chlorophyceae,,"Kosaka River,",,,River,,Unialgal; Clonal; Axenic,Cryopreservation,Yes,,,"
"
NIES-95,National Institute for Environmental Studies,Scenedesmus,acutus,Chlorophyta,Chlorophyceae,,"Namiki Park,",,,Pond (Artificial),,Unialgal; Clonal; Axenic,Cryopreservation,Yes,,,"
"
NIES-96,National Institute for Environmental Studies,Desmodesmus,sp.,Chlorophyta,Chlorophyceae,,"Lake Shoji,",,Eutrophic,Lake,,Unialgal; Clonal; Axenic,Cryopreservation,Yes,,,"
"
NIES-97,National Institute for Environmental Studies,Desmodesmus,serratus,Chlorophyta,Chlorophyceae,Arthrodesmus serratus Corda; Scenedesmus serratus (Corda) Bohlin 1901,"Lake Shoji,",,Eutrophic,Lake,,Unialgal; Clonal; Axenic,Cryopreservation,Yes,,,"
"
NIES-98,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); microcyastin-negative,,"ST6 (Tanabe et al. 2007); Genome decoded strain (Yamaguchi et al. 2016)
"
NIES-99,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Suwa,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko),,"ST7 (Tanabe et al. 2007)
"
NIES-100,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Suwa,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko),,"ST8 (Tanabe et al. 2007)
"
NIES-101,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Suwa,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko),,"ST9 (Tanabe et al. 2007)
"
NIES-102,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Axenic[2018 Feb],Cryopreservation,Uncertain,Cyanobacterial water bloom (aoko); Toxicity; microcystin (Tanabe et al. 2009b),,"Genome decoded strain (Yamaguchi et al. 2020); ST10 (Tanabe et al. 2007)
"
NIES-103,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Toxicity; microcystin (Tanabe et al. 2009b),,"ST10 (Tanabe et al. 2007)
"
NIES-104,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"The Imperial Palace,",,Eutrophic,Moat,,Unialgal; Clonal; Axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko),,"ST11 (Tanabe et al. 2007)
"
NIES-105,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko),,"ST12 (Tanabe et al. 2007)
"
NIES-106,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko),,"Large cell size; ST1 (Tanabe et al. 2007)
"
NIES-107,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kawaguchi,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko); Toxicity; microcystin (Tanabe et al. 2009b),,"ST13 (Tanabe et al. 2007)
"
NIES-108,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Suwa,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko),,"ST14 (Tanabe et al. 2007)
"
NIES-109,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Yogo,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko),,"ST15 (Tanabe et al. 2007)
"
NIES-110,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,Cyanobacterial water bloom (aoko),,"ST1 (Tanabe et al. 2007)
"
NIES-111,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic[2018 Mar],Cryopreservation,Yes,Cyanobacterial water bloom (aoko),,"ST14 (Tanabe et al. 2007)
"
NIES-112,National Institute for Environmental Studies,Microcystis,aeruginosa,Cyanophyta,Cyanophyceae,Microcystis ichthyoblabe K?tzing; Microcystis novacekii (Kom?rek) Comp?re; Microcystis viridis (A.Brown) Lemmermann; Microcystis wesenbergii Kom?rek,"Lake Suwa,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic[2018 Mar],Cryopreservation,Yes,Cyanobacterial water bloom (aoko),,"ST16 (Tanabe et al. 2007)
"
NIES-113,National Institute for Environmental Studies,Chattonella,marina,Heterokontophyta,Raphidophyceae,Hemieutreptia antiqua Hada 1974; Chattonella antiqua (Hada) Ono 1980,"Bisan-Seto, Seto Inland Sea,",,Eutrophic,,Coastal,Unialgal; Clonal; Axenic[2018 Feb],Subculture,Uncertain,Red tide,,"
"
NIES-114,National Institute for Environmental Studies,Chattonella,marina,Heterokontophyta,Raphidophyceae,Hemieutreptia antiqua Hada 1974; Chattonella antiqua (Hada) Ono 1980,"Harima-Nada, Seto Inland Sea",,Eutrophic,,Coastal,Unialgal; Clonal; Non-axenic[2013 Dec],Subculture,Uncertain,Red tide,,"
"
NIES-115,National Institute for Environmental Studies,Chattonella,marina,Heterokontophyta,Raphidophyceae,Hornellia marina Subrahmanyan 1954,"Kinko Bay,",,,,Inner bay,Unialgal; Clonal; Axenic[2018 Feb],Subculture,Uncertain,Red tide,,"
"
NIES-116,National Institute for Environmental Studies,Chattonella,marina,Heterokontophyta,Raphidophyceae,Hornellia marina Subrahmanyan 1954,"Harima-Nada, Seto Inland Sea",,Eutrophic,,Coastal,Unialgal; Clonal; Axenic[2018 Feb],Subculture,Uncertain,Red tide,,"
"
NIES-118,National Institute for Environmental Studies,Chattonella,marina,Heterokontophyta,Raphidophyceae,Hornellia marina Subrahmanyan 1954,"Harima-Nada, Seto Inland Sea",,Eutrophic,,Coastal,Unialgal; Clonal; Axenic[2018 Feb],Subculture,Uncertain,Red tide,,"
"
NIES-119,National Institute for Environmental Studies,Tetradesmus,dimorphus,Chlorophyta,Chlorophyceae,,"Ozegahara,",,,Bog,,Unialgal; Clonal; Axenic[2017 Nov],Cryopreservation,Yes,,,"
"
NIES-120,National Institute for Environmental Studies,Scenedesmus,acutus,Chlorophyta,Chlorophyceae,,"inside NIES,",,,Pond (Artificial),,Unialgal; Clonal; Axenic,Cryopreservation,Yes,,,"
"
NIES-121,National Institute for Environmental Studies,Chattonella,marina,Heterokontophyta,Raphidophyceae,Hornellia marina Subrahmanyan 1954,"Kagoshima Bay,",,,,Inner bay,Unialgal; Clonal; Non-axenic[2021 Sept],Subculture,Uncertain,Red tide,,"
"
NIES-122,National Institute for Environmental Studies,Chlamydomonas,pulsatilla,Chlorophyta,Chlorophyceae,,,,,,,Unialgal; Clonal; Axenic[2017 Dec],Subculture,Uncertain,,Phototaxis,"
"
NIES-123,National Institute for Environmental Studies,Rusalka,fusiformis,Chlorophyta,Chlorophyceae,Chlorogonium fusiforme Matvienko,"Lake Shinsen-numa,",,,Lake,,Unialgal; Clonal; Axenic[2017 Dec],Subculture,Uncertain,,,"Homothallic; Authentic strain; Type specimen (NIES-50007, Epitype)
"
NIES-124,National Institute for Environmental Studies,Closterium,acerosum,Streptophyta,Zygnematophyceae,Vibrio acerosum Schrank 1803; Closterium sigmoideum Lagerheim & Nordstedt 1893,"Daramshara,",,,Small pond,,Unialgal; Clonal; Axenic[2017 Dec],Subculture,Uncertain,,,"
"
NIES-125,National Institute for Environmental Studies,Closterium,acerosum,Streptophyta,Zygnematophyceae,Vibrio acerosum Schrank 1803; Closterium sigmoideum Lagerheim & Nordstedt 1893,"Rukumkot,",,,Pond,,Unialgal; Clonal; Axenic[2017 Dec],Subculture,Uncertain,,,"
"
NIES-127,National Institute for Environmental Studies,Closterium,acerosum,Streptophyta,Zygnematophyceae,Vibrio acerosum Schrank 1803; Closterium sigmoideum Lagerheim & Nordstedt 1893,,,,Stream,,Unialgal; Clonal; Axenic[2017 Dec],Subculture,Uncertain,,,"Homothallic
"
NIES-128,National Institute for Environmental Studies,Closterium,calosporum,Streptophyta,Zygnematophyceae,,,,,Rice field,,Unialgal; Clonal; Axenic[2017 Dec],Subculture,Uncertain,,,"Heterothallic: Mating type(|); Crosses with NIES-162
"
NIES-129,National Institute for Environmental Studies,Coelastrum,astroideum,Chlorophyta,Chlorophyceae,Coelastrum microporum f. astroidea (De Notaris) Nygaard ,"Lake Shoji,",,Eutrophic,Lake,,Unialgal; Clonal; Axenic,Cryopreservation,Yes,,,"
"
NIES-130,National Institute for Environmental Studies,Coelastrum,astroideum,Chlorophyta,Chlorophyceae,Coelastrum microporum f. astroidea (De Notaris) Nygaard ,"Lake Shoji,",,Eutrophic,Lake,,Unialgal; Clonal; Axenic,Cryopreservation,Yes,,,"
"
NIES-131,National Institute for Environmental Studies,Coelastrum,proboscideum,Chlorophyta,Chlorophyceae,,"near Tukcha,",,,Dry river bed,,Unialgal; Clonal; Axenic,Cryopreservation,Yes,,,"
"
NIES-132,National Institute for Environmental Studies,Coelastrum,reticulatum,Chlorophyta,Chlorophyceae,Hariotina reticulata P.A.Dangeard,"Lake Yamanaka,",,Eutrophic,Lake,,Unialgal; Clonal; Axenic,Cryopreservation,Yes,,,"
"
NIES-133,National Institute for Environmental Studies,Cosmarium,contractum,Streptophyta,Zygnematophyceae,,"Lake Yamanaka,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,,,"
"
NIES-134,National Institute for Environmental Studies,Dimorphococcus,lunatus,Chlorophyta,Chlorophyceae,,"Ozegahara,",,,Bog,,Unialgal; Clonal; Non-axenic,Cryopreservation,Uncertain,,,"
"
NIES-135,National Institute for Environmental Studies,Dimorphococcus,lunatus,Chlorophyta,Chlorophyceae,,,,,Pond,,Unialgal; Clonal; Axenic[2017 Dec],Cryopreservation,Uncertain,,,"
"
NIES-137,National Institute for Environmental Studies,Echinosphaeridium,nordstedtii,Chlorophyta,Chlorophyceae,,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Non-axenic[2016 Mar],Cryopreservation,Uncertain,,,"
"
NIES-138,National Institute for Environmental Studies,Gonatozygon,brebissonii,Streptophyta,Zygnematophyceae,,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Axenic[2017 Dec],Subculture,Uncertain,,,"
"
NIES-139,National Institute for Environmental Studies,Gonatozygon,brebissonii,Streptophyta,Zygnematophyceae,,"Lake Shoji,",,Eutrophic,Lake,,Unialgal; Clonal; Axenic[2017 Dec],Subculture,Uncertain,,,"
"
NIES-144,National Institute for Environmental Studies,Haematococcus,lacustris,Chlorophyta,Chlorophyceae,"Volvox lacustris Gir.-Chantr. 1802; Sphaerella lacustris (Gir.-Chantr.) Wittr. ex Hansg. 1888; Lepraria kermesina Wrangel 1824; Sphaerella wrangelii Sommerf. 1824, nom. illeg.; Chlorococcum kermesinum (Wrangel) Fr. 1825; Protococcus kermesinus (Wrangel) C.Agardh 1825; Byssus kermesinum (Wrangel) Wahlenb. 1826; Globulina kermesinum (Wrangel) Turpin 1836; Haematococcus kermesinus (Wrangel) Flot. 1844; Protococcus monospermus Corda 1833; Haematococcus cordae Menegh. 1844; Protosphaeria cordae (Menegh.) Trevis. 1848; Disceraea purpurea Morren & C.Morren 1841; Haematococcus pluvialis Flot. 1844; Protococcus pluvialis (Flot.) K?tz. 1845; Protosphaeria pluvialis (Flot.) Trevis. 1848; Chlamydococcus pluvialis (Flot.) A.Braun 1850 (g1849h); Hysginum pluviale (Flot.) Perty 1852; Sphaerella pluvialis (Flot.) Wittr. 1886; Haematococcus longistigma H.Ettl 1954; Haematococcus buetschlii var. bahusiensis Skuja 1956",,,,,,Unialgal; Clonal; Axenic[2013 Jan],Cryopreservation,Uncertain,,Astaxanthin production,"Genome decoded strain (Morimoto et al. 2017); Homothallic; Isogamous
"
NIES-146,National Institute for Environmental Studies,Heterosigma,akashiwo,Heterokontophyta,Raphidophyceae,Entomosigma akashiwo Y.Hada; Chattonella akashiwo (Y.Hada) Loeblich III 1979; Olisthodiscus carterae Hulburt 1965; Heterosigma inlandica Hada 1968; Chattonella inlandica (Y.Hada) Loeblich III & Fine 1977; Heterosigma carterae (Hulbert) F.J.R.Taylor 1992,"Shido Bay,",,,,Inner bay,Unialgal; Clonal; Axenic[2018 Feb],Subculture,Uncertain,Red tide,,"
"
NIES-147,National Institute for Environmental Studies,Hyalotheca,dissiliens,Streptophyta,Zygnematophyceae,Desmidium mucosum (Dillwyn) Br?bisson 1835; Hyalotheca dissiliens f. tridentula Nordstedt 1873; Hyalotheca dissiliens var. quadridentula Nordstedt 1876; Hyalotheca dissiliens var. bidentula (Nordstedt) Boldt 1888; Hyalotheca dissiliens f. bidentula Nordstedt 1888,,,,Pond,,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,,,"Heterothallic; Crosses with NIES-148
"
NIES-148,National Institute for Environmental Studies,Hyalotheca,dissiliens,Streptophyta,Zygnematophyceae,Desmidium mucosum (Dillwyn) Br?bisson 1835; Hyalotheca dissiliens f. tridentula Nordstedt 1873; Hyalotheca dissiliens var. quadridentula Nordstedt 1876; Hyalotheca dissiliens var. bidentula (Nordstedt) Boldt 1888; Hyalotheca dissiliens f. bidentula Nordstedt 1888,,,,Pond,,Unialgal; Clonal; Axenic[2017 Dec],Subculture,Uncertain,,,"Heterothallic; Crosses with NIES-147
"
NIES-150,National Institute for Environmental Studies,Hyalotheca,dissiliens,Streptophyta,Zygnematophyceae,Desmidium mucosum (Dillwyn) Br?bisson 1835; Hyalotheca dissiliens f. tridentula Nordstedt 1873; Hyalotheca dissiliens var. quadridentula Nordstedt 1876; Hyalotheca dissiliens var. bidentula (Nordstedt) Boldt 1888; Hyalotheca dissiliens f. bidentula Nordstedt 1888,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Axenic[2017 Dec],Subculture,Uncertain,,,"Heterothallic
"
NIES-151,National Institute for Environmental Studies,Micractinium,pusillum,Chlorophyta,Trebouxiophyceae,,"Lake Kasumigaura,",,Eutrophic,Lake,,Unialgal; Clonal; Axenic[2018 Feb],Cryopreservation,Yes,,,"
"
NIES-152,National Institute for Environmental Studies,Micrasterias,crux-melitensis,Streptophyta,Zygnematophyceae,,"Kathmandu,",,,,,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,,,"Homothallic
"
NIES-153,National Institute for Environmental Studies,Desmotetra,delicata,Chlorophyta,Chlorophyceae,Chlorosarcinopsis delicata S.Watanabe,,,,,,Unialgal; Clonal; Non-axenic,Cryopreservation,Uncertain,,,"Authentic strain (Watanabe 1983, Watanabe et al. 2006)
"
NIES-154,National Institute for Environmental Studies,Kentrosphaera,sp.,Chlorophyta,Ulvophyceae,,,,,,,Unialgal; Non-clonal; Non-axenic,Cryopreservation,Yes,,,"
"
NIES-155,National Institute for Environmental Studies,Chlorococcum,chlorococcoides,Chlorophyta,Chlorophyceae,,"Mt. Eboshidake,",,,,,Unialgal; Clonal; Axenic[2017 Dec],Cryopreservation,Uncertain,,,"
"
NIES-156,National Institute for Environmental Studies,Urnella,terrestris,Chlorophyta,Chlorophyceae,,"Pokhara,",,,,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,,,"
"
NIES-157,National Institute for Environmental Studies,Heterochlamydomonas,monticola,Chlorophyta,Chlorophyceae,,"Mt. Shiroumadake,",,,,,Unialgal; Clonal; Non-axenic,Cryopreservation,Uncertain,,,"Authentic strain (Watanabe 2020); Type specimen (NIES-50022, Epitype)
"
NIES-158,National Institute for Environmental Studies,Chloromonas,augustae,Chlorophyta,Chlorophyceae,Chlamydomonas augustae Skuja,"Sumatra Isl.,",,,Rice field,,Unialgal; Clonal; Axenic[2017 Dec],Cryopreservation,Uncertain,,,"Authentic strain
"
NIES-159,National Institute for Environmental Studies,Pseudopleurococcus,printzii,Chlorophyta,Trebouxiophyceae,,,,,,,Unialgal; Clonal; Non-axenic,Cryopreservation,Yes,,,"Authentic strain (Watanabe, S. 1983)
"
NIES-160,National Institute for Environmental Studies,Chlorokybus,riethii,Streptophyta,Charophyceae,,,,,,,Unialgal; Non-clonal; Axenic[2023 Jan],Cryopreservation,Uncertain,,,"
"
NIES-161,National Institute for Environmental Studies,Chattonella,marina,Heterokontophyta,Raphidophyceae,Hemieutreptia antiqua Hada 1974; Chattonella antiqua (Hada) Ono 1980,"Hiroshima Bay,",,,,,Unialgal; Clonal; Non-axenic[2018 Feb],Subculture,Uncertain,Red tide,,"
"
NIES-162,National Institute for Environmental Studies,Closterium,calosporum,Streptophyta,Zygnematophyceae,,,,,Rice field,,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,,,"Heterothallic: Mating type(+); Crosses with NIES-128, 163 and 168
"
NIES-163,National Institute for Environmental Studies,Closterium,calosporum,Streptophyta,Zygnematophyceae,,,,,Rice field,,Unialgal; Clonal; Axenic[2017 Dec],Subculture,Uncertain,,,"Heterothallic: Mating type(|); Crosses with NIES-162, 164 and 165
"
NIES-164,National Institute for Environmental Studies,Closterium,calosporum,Streptophyta,Zygnematophyceae,,,,,Rice field,,Unialgal; Clonal; Non-axenic,Subculture,Uncertain,,,"Heterothallic: Mating type(+); Crosses with NIES-163 and 166
"
