;LEGE 06152;N17111;Nodosilinea sp.;CIIMAR;S;Portugal;Z825, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06363;N17112;Tychonema sp.;CIIMAR;F;Portugal;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 07366;N17113;Cyanobium aff. gracile;CIIMAR;B;Portugal;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 95046;N17114;Cylindrospermopsis raciborskii;CIIMAR;F;Australia;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 99048;N17115;Cylindrospermopsis raciborskii;CIIMAR;F;Portugal;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 06306;N17116;Synechococcus sp.;CIIMAR;B;Portugal;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 08333;N17117;unidentified unicellular Synechococcales;CIIMAR;F;Mexico;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 00049;N17138;See N15021;CIIMAR;F;Morocco;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 00049;N17139;;CIIMAR;F;Morocco;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 00049;N17140;;CIIMAR;F;Morocco;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 00049;N17141;;CIIMAR;F;Morocco;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
;LEGE 00049;N17142;;CIIMAR;F;Morocco;Z8, 10-30 µmol/m2/s, 25ºC, 14h:10h
